C:\Users\Mary\PycharmProjects\DeepLearning\venv\Scripts\python.exe C:/Users/Mary/PycharmProjects/DeepLearning/lab2.py
[21:45:20] c:\jenkins\workspace\mxnet-tag\mxnet\src\io\iter_image_recordio_2.cc:170: ImageRecordIOParser2: data.rec, use 3 threads for decoding..
Polina config
[21:45:21] c:\jenkins\workspace\mxnet-tag\mxnet\src\io\iter_image_recordio_2.cc:170: ImageRecordIOParser2: test_data.rec, use 3 threads for decoding..
data - ok
layers - ok
INFO:root:Epoch[3] Batch [1500]	Speed: 197.73 samples/sec	accuracy=0.670000
INFO:root:Epoch[3] Batch [1600]	Speed: 198.50 samples/sec	accuracy=0.663750
INFO:root:Epoch[3] Batch [1700]	Speed: 197.73 samples/sec	accuracy=0.678750
INFO:root:Epoch[3] Batch [1800]	Speed: 197.73 samples/sec	accuracy=0.681250
INFO:root:Epoch[3] Batch [1900]	Speed: 198.50 samples/sec	accuracy=0.693750
INFO:root:Epoch[3] Batch [2000]	Speed: 197.73 samples/sec	accuracy=0.696250
INFO:root:Epoch[3] Batch [2100]	Speed: 197.85 samples/sec	accuracy=0.691250
INFO:root:Epoch[3] Batch [2200]	Speed: 197.09 samples/sec	accuracy=0.685000
INFO:root:Epoch[3] Batch [2300]	Speed: 198.50 samples/sec	accuracy=0.705000
INFO:root:Epoch[3] Batch [2400]	Speed: 197.73 samples/sec	accuracy=0.695000
INFO:root:Epoch[3] Batch [2500]	Speed: 197.73 samples/sec	accuracy=0.711250
INFO:root:Epoch[3] Batch [2600]	Speed: 197.73 samples/sec	accuracy=0.677500
INFO:root:Epoch[3] Batch [2700]	Speed: 197.73 samples/sec	accuracy=0.708750
INFO:root:Epoch[3] Batch [2800]	Speed: 197.73 samples/sec	accuracy=0.670000
INFO:root:Epoch[3] Batch [2900]	Speed: 197.72 samples/sec	accuracy=0.711250
INFO:root:Epoch[3] Batch [3000]	Speed: 197.73 samples/sec	accuracy=0.696250
INFO:root:Epoch[3] Batch [3100]	Speed: 198.49 samples/sec	accuracy=0.695000
INFO:root:Epoch[3] Batch [3200]	Speed: 197.73 samples/sec	accuracy=0.695000
INFO:root:Epoch[3] Batch [3300]	Speed: 197.73 samples/sec	accuracy=0.690000
INFO:root:Epoch[3] Batch [3400]	Speed: 198.50 samples/sec	accuracy=0.718750
INFO:root:Epoch[3] Batch [3500]	Speed: 197.73 samples/sec	accuracy=0.705000
INFO:root:Epoch[3] Batch [3600]	Speed: 197.73 samples/sec	accuracy=0.662500
INFO:root:Epoch[3] Batch [3700]	Speed: 197.73 samples/sec	accuracy=0.720000
INFO:root:Epoch[3] Batch [3800]	Speed: 198.50 samples/sec	accuracy=0.687500
INFO:root:Epoch[3] Batch [3900]	Speed: 197.73 samples/sec	accuracy=0.723750
INFO:root:Epoch[3] Batch [4000]	Speed: 197.58 samples/sec	accuracy=0.706250
INFO:root:Epoch[3] Batch [4100]	Speed: 197.73 samples/sec	accuracy=0.693750
INFO:root:Epoch[3] Train-accuracy=0.700000
INFO:root:Epoch[3] Time cost=166.777
